adcode,address,city,id,lat,lng,name,shape
340504,东湖路与军民路交叉口东南100米,马鞍山市,B0FFF2RWWN,31.659162,118.529587,万嘉南苑一村,"118.530229,31.660817_118.529279,31.660787_118.529263,31.660258_118.528595,31.660265_118.528587,31.660196_118.528614,31.659379_118.52907,31.658276_118.529175,31.658299_118.529242,31.658141_118.529215,31.657952_118.529448,31.657443_118.529475,31.657447_118.529547,31.657338_118.529614,31.657335_118.52962,31.657118_118.530403,31.657084_118.530384,31.657356_118.530011,31.657363_118.530017,31.658342_118.530392,31.658543_118.530229,31.660817"
340504,万嘉南苑小区(军民路东110米),马鞍山市,B022B0MMNH,31.661794,118.529341,万嘉南苑二村,"118.528349,31.662602_118.529037,31.662606_118.529809,31.662598_118.530453,31.662599_118.530456,31.662187_118.53045,31.661543_118.530445,31.660992_118.529291,31.660985_118.528283,31.660988_118.528217,31.661039_118.528239,31.661919_118.528236,31.662584_118.528349,31.662602"
340503,蓬莱路附近,马鞍山市,B022B00NMW,31.69881,118.530914,万嘉颐园北区,"118.532063,31.700359_118.532042,31.699402_118.532262,31.699392_118.532276,31.698516_118.532477,31.698521_118.532461,31.698258_118.532501,31.697122_118.532371,31.697016_118.531581,31.697019_118.531562,31.697104_118.531769,31.697523_118.531686,31.697581_118.530827,31.69759_118.530779,31.697578_118.530687,31.697311_118.530636,31.697311_118.530629,31.697035_118.530196,31.697064_118.530184,31.697128_118.530015,31.697132_118.530028,31.697357_118.530096,31.697365_118.530059,31.697549_118.529997,31.69804_118.529934,31.698213_118.52982,31.69837_118.529649,31.698332_118.529203,31.698326_118.529091,31.699261_118.529083,31.699424_118.529608,31.699436_118.529635,31.699596_118.529555,31.699897_118.529418,31.700189_118.529418,31.700343_118.532063,31.700359"
340503,慈湖河路西200米,马鞍山市,B022B00O6E,31.694528,118.531017,万嘉颐园南区,"118.532415,31.696768_118.532547,31.696686_118.532562,31.696591_118.532553,31.696394_118.532557,31.693076_118.53245,31.692784_118.532316,31.692684_118.530396,31.692126_118.530106,31.692049_118.530059,31.692164_118.529851,31.692746_118.529868,31.692963_118.529379,31.692955_118.529355,31.694253_118.529355,31.69602_118.530412,31.696052_118.53026,31.696711_118.530302,31.696796_118.532415,31.696768"
340504,太白大道3200号,马鞍山市,B0FFFQ11V5,31.65822,118.506241,万达广场(马鞍山店),"118.507686,31.655646_118.507663,31.655632_118.507632,31.655623_118.50493,31.655664_118.504889,31.655672_118.504858,31.655682_118.504828,31.655699_118.504809,31.655714_118.50479,31.655739_118.50478,31.655774_118.504742,31.657337_118.504798,31.660684_118.504805,31.660715_118.504818,31.660748_118.504845,31.660775_118.504869,31.660793_118.504906,31.660806_118.504942,31.660814_118.507583,31.660804_118.507619,31.660794_118.507649,31.660778_118.507673,31.660756_118.507693,31.660735_118.507707,31.660704_118.507714,31.655706_118.507706,31.655674_118.507686,31.655646"
340503,霍里山大道附近,马鞍山市,B0FFGDPC8U,31.706368,118.546812,上湖家园,"118.544959,31.707026_118.5481,31.707507_118.548741,31.706257_118.547749,31.705579_118.547212,31.70541_118.547067,31.705424_118.545651,31.705077_118.544959,31.707026"
340521,提署路与振兴路交汇处(县体育馆以南100米),马鞍山市,B0FFFP2IMD,31.555348,118.499354,世代华府,"118.498571,31.556364_118.499878,31.556356_118.499866,31.555766_118.50024,31.555755_118.500338,31.555753_118.500356,31.555185_118.500371,31.554646_118.500368,31.554581_118.500338,31.554526_118.500306,31.554492_118.500249,31.554473_118.500175,31.55446_118.499475,31.554458_118.498567,31.554479_118.498493,31.554502_118.498451,31.554525_118.498433,31.554551_118.498469,31.555302_118.498496,31.555941_118.498524,31.556348_118.498571,31.556364"
340521,梅塘路,马鞍山市,B0FFG0D3U4,31.565106,118.508521,东一城,"118.506889,31.565516_118.507053,31.565511_118.50717,31.564366_118.507286,31.564291_118.507401,31.564268_118.507511,31.564253_118.507621,31.564243_118.507844,31.564252_118.508273,31.564322_118.508396,31.564336_118.508402,31.564381_118.509759,31.564414_118.509762,31.564561_118.510046,31.564547_118.510097,31.565678_118.509968,31.565806_118.509885,31.565831_118.506875,31.565822_118.506889,31.565516"
340503,雨山路与江东大道交汇处,马鞍山市,B022B0M8B0,31.669797,118.528597,东南名苑,"118.527474,31.670742_118.52738,31.670607_118.52738,31.668728_118.527439,31.668651_118.527724,31.668705_118.529869,31.669057_118.529896,31.669194_118.529912,31.670678_118.529816,31.670751_118.527474,31.670742"
340521,提署中路301号,马鞍山市,B022B00HSU,31.553207,118.495761,东城水岸,"118.495301,31.552158_118.496055,31.55219_118.496202,31.5526_118.496275,31.552862_118.496284,31.553174_118.496288,31.553441_118.496135,31.553502_118.496036,31.553589_118.49595,31.553676_118.495931,31.553749_118.495921,31.553884_118.495918,31.553976_118.495971,31.554131_118.496001,31.554218_118.496028,31.55441_118.495363,31.554424_118.495406,31.553772_118.495411,31.553226_118.495443,31.552586_118.495253,31.552579_118.495301,31.552158"
