address,city,date,district,hotpot,href,info,level,op,price,size,structure,tax,title,year,avg_price
三环御景,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19101815110100101260.html,高楼层(共6层)3室2厅|115平米|南,高楼层(共6层,南,82.0,115.0,3室2厅,0,三环御景 3室2厅 南,0,0.71304345
宁兴花园,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19091515110100106419.html,高楼层(共6层)3室2厅|116平米|南,高楼层(共6层,南,63.0,116.0,3室2厅,0,宁兴花园 3室2厅 南,0,0.54310346
书香苑,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19081715110100101692.html,高楼层(共6层)3室2厅|126平米|西南,高楼层(共6层,西南,58.0,126.0,3室2厅,0,业主急售   书香苑  3室2厅  交通便利  视野宽阔,0,0.46031746
安居苑,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19081315110100105070.html,高楼层(共7层)3室2厅|108平米|南,高楼层(共7层,南,62.0,108.0,3室2厅,0,急售 安居苑精装 3室2厅 空气清新，视野宽阔，,0,0.5740741
阳光鑫城,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19101515110100102921.html,低楼层(共11层)3室2厅|121平米|南,低楼层(共11层,南,90.0,121.0,3室2厅,0,阳光鑫城 3室2厅 南,0,0.74380165
宁兴花园,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19101515110100103116.html,高楼层(共6层)2室2厅|102平米|南,高楼层(共6层,南,65.0,102.0,2室2厅,0,精装大二居 拎包记住 业主诚心出售,0,0.6372549
前进小区,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19101515110100103036.html,高楼层(共6层)3室2厅|124平米|南,高楼层(共6层,南,77.0,124.0,3室2厅,0,前进小区 精装大三居 满五唯一   业主急售,0,0.62096775
雍翠园,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19101415110100165580.html,低楼层(共6层)4室2厅|127平米|南,低楼层(共6层,南,78.0,127.0,4室2厅,0,房东急售，给儿子买婚房。满五唯一,0,0.61417323
雍翠园,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19102515110100105927.html,高楼层(共5层)2室2厅|98平米|东南,高楼层(共5层,东南,65.0,98.0,2室2厅,0,急售！雍翠园，三房两厅，复式楼，配置齐全,0,0.6632653
宁兴花园,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19090615110100107964.html,高楼层(共6层)3室2厅|129平米|南北,高楼层(共6层,南北,72.0,129.0,3室2厅,0,宁兴花园 3室2厅 南 北,0,0.55813956
安居苑,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19110815110100106734.html,中楼层(共6层)3室1厅|88.9平米|南,中楼层(共6层,南,57.0,88.9,3室1厅,0,安居苑 3室1厅 南,0,0.64116985
四季阳光,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19092915110100101088.html,高楼层(共7层)2室2厅|95平米|南北,高楼层(共7层,南北,65.0,95.0,2室2厅,0,四季阳光 2室2厅 南 北,0,0.68421054
四季阳光,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19092915110100102472.html,高楼层(共11层)3室2厅|88平米|南北,高楼层(共11层,南北,65.0,88.0,3室2厅,0,四季阳光 3室2厅 南 北,0,0.7386364
德辰成韵府,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19090615110100102777.html,高楼层(共33层)3室2厅|123平米|南北,高楼层(共33层,南北,105.0,123.0,3室2厅,0,德辰成韵府 3室2厅 南 北,0,0.85365856
阳光丽景,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19111115110100104227.html,低楼层(共6层)3室2厅|118平米|南,低楼层(共6层,南,82.0,118.0,3室2厅,0,急售！新出房源阳光丽景三室两厅一厨两卫,0,0.69491524
书香苑,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19081315110100107286.html,高楼层(共6层)3室2厅|116平米|东,高楼层(共6层,东,55.0,116.0,3室2厅,0,书香苑 3室2厅 东,0,0.47413793
盛源帝豪山庄,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19102115110100105812.html,中楼层(共6层)2室2厅|94.73平米|南,中楼层(共6层,南,60.0,94.73,2室2厅,0,盛源帝豪山庄 2室2厅 南,0,0.63337904
和谐家园,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19101715110100100456.html,高楼层(共6层)3室2厅|112.8平米|南,高楼层(共6层,南,73.0,112.8,3室2厅,0,和谐家园 3室2厅 南,0,0.6471631
锦都花园,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19110615110100103641.html,高楼层(共5层)3室2厅|124.63平米|南,高楼层(共5层,南,75.0,124.63,3室2厅,0,急售！锦都花园皖河路繁华地带，精装修，配套齐全！,0,0.6017813
三环御景,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19090315110100103643.html,高楼层(共6层)3室2厅|98平米|南,高楼层(共6层,南,78.0,98.0,3室2厅,0,业主急售，三环御景，毛坯房，三室户型,0,0.79591835
常青小区,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19101515110100103433.html,高楼层(共6层)3室2厅|130平米|南,高楼层(共6层,南,48.0,130.0,3室2厅,0,常青小区 3室2厅 南,0,0.36923078
玉龙湾,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19092815110100105590.html,高楼层(共12层)2室2厅|98.4平米|南北,高楼层(共12层,南北,80.0,98.4,2室2厅,0,玉龙湾 2室2厅 南 北,0,0.8130081
阳光丽景,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19110715110100107373.html,中楼层(共7层)3室2厅|110平米|南,中楼层(共7层,南,83.0,110.0,3室2厅,0,阳光丽景 3室2厅 南,0,0.75454545
骑龙休闲山庄,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19091215110100100483.html,低楼层(共6层)3室2厅|112平米|南,低楼层(共6层,南,70.0,112.0,3室2厅,0,急售：骑龙山庄低楼层带院子好房，领包即住,0,0.625
吉祥小区,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19082315110100100262.html,高楼层(共6层)2室1厅|96.88平米|南,高楼层(共6层,南,62.0,96.88,2室1厅,0,吉祥小区 2室1厅 南,0,0.63996696
玉龙湾,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19082515110100216824.html,低楼层(共23层)3室2厅|113平米|南,低楼层(共23层,南,88.0,113.0,3室2厅,0,捡漏，捡漏，低价出售玉龙湾三室两厅楼房,0,0.7787611
雍翠园,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19081315110100110344.html,高楼层(共6层)3室2厅|134.2平米|南,高楼层(共6层,南,54.0,134.2,3室2厅,0,几首雍翠园，大三室户型方正，交通便利。,0,0.40238452
骑龙休闲山庄,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19111115110100101114.html,高楼层(共6层)3室2厅|105.6平米|南北,高楼层(共6层,南北,57.0,105.6,3室2厅,0,急售！骑龙山庄精装修三房二厅，南北格局，满五唯一!,0,0.53977275
状元阁,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19090615110100115966.html,中楼层(共4层)3室2厅|113平米|南北,中楼层(共4层,南北,55.0,113.0,3室2厅,0,状元阁 3室2厅 南 北,0,0.48672566
宁兴花园,安庆,2019-11-26,大观区,怀宁县,https://aq.ke.com/ershoufang/19090615110100109681.html,高楼层(共7层)3室2厅|130平米|南北,高楼层(共7层,南北,66.0,130.0,3室2厅,0,宁兴花园 3室2厅 南 北,0,0.50769234
石化大湖老北区,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19111515110100111464.html,低楼层(共6层)3室1厅|77平米|南,低楼层(共6层,南,85.0,77.0,3室1厅,0,石化大湖老北区 3室1厅 南,0,1.1038961
花亭西村,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19111415110100118724.html,中楼层(共6层)2室1厅|63.3平米|南,中楼层(共6层,南,52.0,63.3,2室1厅,0,花亭西村 2室1厅 南,0,0.821485
花亭西村,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19111315110100122067.html,低楼层(共6层)2室1厅|56.8平米|南,低楼层(共6层,南,43.3,56.8,2室1厅,0,花亭西村 2室1厅 南,0,0.7623239
石化一村南区,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19110915110100100618.html,低楼层(共4层)2室1厅|38.9平米|南,低楼层(共4层,南,40.0,38.9,2室1厅,0,石化一村南区 2室1厅 南,0,1.0282776
花亭西村,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19110515110100109177.html,中楼层(共7层)2室1厅|54.6平米|南,中楼层(共7层,南,38.8,54.6,2室1厅,0,花亭西村 2室1厅 南,0,0.7106227
富春国际花园,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19102215110100100133.html,低楼层(共7层)|2013年建|3室2厅|103.5平米|南北,低楼层(共7层),南北,86.0,103.5,3室2厅,0,富春国际花园 3室2厅 南 北,2013,0.8309179
财和世家名都,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19101415110100153815.html,中楼层(共11层)3室2厅|110平米|南,中楼层(共11层,南,82.0,110.0,3室2厅,0,财和世家名都 3室2厅 南,0,0.74545455
富春国际花园,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19092915110100101916.html,中楼层(共7层)3室2厅|114平米|南,中楼层(共7层,南,103.0,114.0,3室2厅,0,富春国际花园 3室2厅 南,0,0.9035088
石化一村南区,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19082815110100100783.html,低楼层(共4层)2室2厅|46.2平米|南,低楼层(共4层,南,38.0,46.2,2室2厅,0,石化一村南区 2室2厅 南,0,0.82251084
石化大湖新村(双岗路),安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19080915110100102415.html,高楼层(共7层)|1990年建|2室1厅|58.5平米|南,高楼层(共7层),南,72.0,58.5,2室1厅,0,石化大湖新村(双岗路) 2室1厅 南,1990,1.2307693
石化一村南区,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19080115110100104689.html,中楼层(共4层)|1990年建|2室1厅|50平米|南北,中楼层(共4层),南北,49.0,50.0,2室1厅,0,石化一村南区 2室1厅 南 北,1990,0.98
化建新村,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19073015110100105690.html,低楼层(共11层)3室2厅|108平米|南,低楼层(共11层,南,70.0,108.0,3室2厅,0,化建新村 3室2厅 南,0,0.6481481
化建新村,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19070415110100105083.html,中楼层(共11层)3室2厅|110.1平米|南北,中楼层(共11层,南北,83.0,110.1,3室2厅,0,化建新村 3室2厅 南 北,0,0.7538601
化建新村,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19060915110100100188.html,中楼层(共6层)2室1厅|80.25平米|南北,中楼层(共6层,南北,59.0,80.25,2室1厅,0,化建新村 2室1厅 南 北,0,0.7352025
富春国际花园,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19050915110100104821.html,高楼层(共7层)3室2厅|114.28平米|南北,高楼层(共7层,南北,91.0,114.28,3室2厅,0,富春国际花园 3室2厅 南 北,0,0.7962898
化建新村,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19050615110100101241.html,低楼层(共6层)2室1厅|80平米|南,低楼层(共6层,南,55.0,80.0,2室1厅,0,化建新村 2室1厅 南,0,0.6875
石化大湖新村(水上公园路),安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19042915110100100380.html,高楼层(共6层)|1990年建|2室1厅|58.1平米|南,高楼层(共6层),南,72.0,58.1,2室1厅,0,石化大湖新村(水上公园路) 2室1厅 南,1990,1.2392427
石化大湖新村(水上公园路),安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19112515110100101764.html,中楼层(共5层)2室1厅|66.8平米|南北,中楼层(共5层,南北,79.8,66.8,2室1厅,0,石化大湖新村(水上公园路) 2室1厅 南 北,0,1.1946107
尚城花园南苑,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19103115110100104251.html,中楼层(共11层)2室2厅|105.2平米|南北,中楼层(共11层,南北,55.0,105.2,2室2厅,0,尚城花园南苑 2室2厅 南 北,0,0.5228137
财和世家名都,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19092015110100101231.html,中楼层(共11层)3室2厅|116.05平米|南北,中楼层(共11层,南北,90.0,116.05,3室2厅,0,财和世家名都 3室2厅 南 北,0,0.7755278
化建新村,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19072415110100104228.html,中楼层(共6层)2室2厅|83平米|南,中楼层(共6层,南,55.0,83.0,2室2厅,0,诚心出售 化建新村 精装房两房,0,0.6626506
花亭西村,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19070915110100102465.html,中楼层(共6层)|1990年建|1室1厅|46平米|西南,中楼层(共6层),西南,33.8,46.0,1室1厅,0,花亭西村 1室1厅 西南,1990,0.7347826
华茂1958C区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19082515110100191369.html,低楼层(共30层)1室1厅|42平米|南,低楼层(共30层,南,30.0,42.0,1室1厅,0,华茂1958C区 1室1厅 南,0,0.71428573
黄梅阁,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19082515110100130590.html,高楼层(共7层)3室1厅|95平米|南,高楼层(共7层,南,68.0,95.0,3室1厅,0,黄梅阁 3室1厅 南,0,0.7157895
市府路南一巷,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19082515110100125283.html,高楼层(共7层)2室1厅|68平米|南,高楼层(共7层,南,52.8,68.0,2室1厅,0,市府路南一巷 2室1厅 南,0,0.7764706
胡滨街十二号,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19082415110100103326.html,中楼层(共6层)3室2厅|84.24平米|南北,中楼层(共6层,南北,73.7,84.24,3室2厅,0,胡滨街十二号 3室2厅 南 北,0,0.87488127
戏校南路南三巷,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19081515110100104065.html,中楼层(共7层)2室1厅|67平米|南,中楼层(共7层,南,50.0,67.0,2室1厅,0,戏校南路南三巷 2室1厅 南,0,0.74626863
华茂1958C区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19081115110100106294.html,中楼层(共30层)1室1厅|41.5平米|南北,中楼层(共30层,南北,25.0,41.5,1室1厅,0,华茂1958C区 1室1厅 南 北,0,0.60240966
安庆湖滨供电小区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19080615110100106559.html,低楼层(共5层)|1990年建|2室1厅|61平米|南北,低楼层(共5层),南北,70.0,61.0,2室1厅,0,安庆湖滨供电小区 2室1厅 南 北,1990,1.1475409
华茂1958C区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19080415110100101452.html,高楼层(共24层)1室1厅|43平米|北,高楼层(共24层,北,32.0,43.0,1室1厅,0,华茂1958C区 1室1厅 北,0,0.74418604
