address,city,date,district,hotpot,href,info,level,op,price,size,structure,tax,title,year,avg_price
幸福家园,马鞍山,2019-11-26,含山县,含山县,https://mas.ke.com/ershoufang/19110514310100101138.html,高楼层(共11层)3室1厅|112.8平米|南,高楼层(共11层,南,60.0,112.8,3室1厅,0,南北通风，格局好，楼层不影响采光,0,0.5319149
瑞泰御景湾,马鞍山,2019-11-26,含山县,含山县,https://mas.ke.com/ershoufang/19110414310100108882.html,高楼层(共6层)6室3厅|190平米|南,高楼层(共6层,南,80.0,190.0,6室3厅,0,瑞泰御景湾 6室3厅 南,0,0.42105263
西苑小区,马鞍山,2019-11-26,含山县,含山县,https://mas.ke.com/ershoufang/19082114310100111582.html,高楼层(共6层)3室2厅|96平米|东南,高楼层(共6层,东南,50.0,96.0,3室2厅,0,西苑小区 3室2厅 东南,0,0.5208333
凤凰城,马鞍山,2019-11-26,含山县,含山县,https://mas.ke.com/ershoufang/19110914310100104954.html,低楼层(共6层)3室2厅|124.68平米|南北,低楼层(共6层,南北,86.0,124.68,3室2厅,0,凤凰城 3室2厅 南 北,0,0.6897658
西苑小区,马鞍山,2019-11-26,含山县,含山县,https://mas.ke.com/ershoufang/19083014310100106546.html,高楼层(共6层)2室1厅|58.6平米|南,高楼层(共6层,南,28.0,58.6,2室1厅,0,西苑小区 2室1厅 南,0,0.47781572
西苑小区,马鞍山,2019-11-26,含山县,含山县,https://mas.ke.com/ershoufang/19101914310100101999.html,高楼层(共6层)2室1厅|54.6平米|南,高楼层(共6层,南,26.4,54.6,2室1厅,0,西苑小区 2室1厅 南,0,0.48351648
鸿联桂花园,马鞍山,2019-11-26,含山县,含山县,https://mas.ke.com/ershoufang/19081114310100105711.html,高楼层(共18层)3室2厅|123.07平米|南,高楼层(共18层,南,97.0,123.07,3室2厅,0,鸿联桂花园 3室2厅 南,0,0.7881693
鸿联桂花园,马鞍山,2019-11-26,含山县,含山县,https://mas.ke.com/ershoufang/19092114310100106644.html,中楼层(共18层)3室2厅|123平米|南,中楼层(共18层,南,110.0,123.0,3室2厅,0,鸿联桂花园 3室2厅 南,0,0.8943089
瑞泰御府,马鞍山,2019-11-26,含山县,含山县,https://mas.ke.com/ershoufang/19102614310100103727.html,高楼层(共6层)3室1厅|124平米|南,高楼层(共6层,南,124.0,124.0,3室1厅,0,瑞泰御府 3室1厅 南,0,1.0
时代嘉园,马鞍山,2019-11-26,含山县,含山县,https://mas.ke.com/ershoufang/19092214310100107861.html,中楼层(共6层)3室2厅|132平米|南,中楼层(共6层,南,86.0,132.0,3室2厅,0,时代嘉园 3室2厅 南,0,0.6515151
幸福家园,马鞍山,2019-11-26,含山县,含山县,https://mas.ke.com/ershoufang/19110514310100100886.html,中楼层(共11层)3室2厅|112.8平米|南,中楼层(共11层,南,75.0,112.8,3室2厅,0,南北通风，格局好，楼层不影响采光,0,0.6648936
辉隆名郡,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19092814310100100752.html,高楼层(共31层)|2016年建|3室2厅|113平米|南北,高楼层(共31层),南北,86.0,113.0,3室2厅,0,辉隆名郡精装三房拎包入住（精装30万）家电家具全丢,2016,0.76106197
九韵国际,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19062114310100102316.html,中楼层(共24层)|2011年建|3室2厅|124平米|南北,中楼层(共24层),南北,78.0,124.0,3室2厅,0,九韵国际 精装三房 南北通透户型  房东诚心出售,2011,0.62903225
九韵国际,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19060314310100118577.html,低楼层(共6层)|2008年建|3室2厅|110平米|南北,低楼层(共6层),南北,60.0,110.0,3室2厅,0,九韵国际  精装三房  户型好  楼层好 有大型落地窗,2008,0.54545456
