shape,name,lng,lat
"117.280391,31.837558_117.281109,31.837569_117.281166,31.837599_117.281184,31.837613_117.281168,31.838018_117.280374,31.837995_117.280391,31.837558",晶品城市公寓,117.28078,31.837786
"117.260956,31.876266_117.260941,31.876023_117.261548,31.875977_117.261523,31.87576_117.261951,31.875712_117.26201,31.875924_117.261913,31.875948_117.261962,31.876225_117.260956,31.876266",908库小区,117.26154,31.876041
"117.170933,31.857057_117.17091,31.857048_117.170894,31.857037_117.17088,31.857019_117.170869,31.856997_117.170933,31.8562_117.170943,31.85619_117.170963,31.856187_117.173012,31.856216_117.173024,31.856219_117.173029,31.856229_117.172941,31.856678_117.172938,31.856692_117.172921,31.856706_117.171635,31.85698_117.170933,31.857057",CBC拓基广场,117.17184,31.856561
"117.271213,31.8591_117.271251,31.859071_117.271285,31.859059_117.271307,31.859058_117.271334,31.859057_117.272469,31.859262_117.272497,31.85927_117.272518,31.85928_117.272536,31.859294_117.272552,31.859313_117.272559,31.859337_117.27253,31.859769_117.272391,31.860352_117.272379,31.860365_117.272356,31.860378_117.272341,31.860381_117.272306,31.860381_117.270922,31.859879_117.270904,31.859868_117.270894,31.859857_117.270892,31.859836_117.270896,31.859812_117.271213,31.8591",CBD中央广场公寓楼,117.271801,31.859672
"117.211,31.811457_117.211008,31.811473_117.211032,31.811477_117.212703,31.811532_117.212768,31.811505_117.212803,31.811473_117.212816,31.81145_117.212819,31.810746_117.212789,31.809189_117.212784,31.809159_117.212765,31.809125_117.212631,31.808995_117.212588,31.808974_117.212518,31.808968_117.211129,31.808961_117.211108,31.80897_117.211091,31.808988_117.211,31.811457",imore公寓,117.211925,31.810255
"117.190374,31.788675_117.18887,31.786157_117.187803,31.784448_117.187803,31.784436_117.187804,31.784424_117.187819,31.78441_117.189064,31.783798_117.189058,31.783763_117.189064,31.783727_117.189077,31.783708_117.189101,31.783678_117.190132,31.783181_117.190149,31.78318_117.190167,31.78318_117.190188,31.783186_117.190206,31.783195_117.192092,31.786321_117.192689,31.787024_117.193422,31.787679_117.193432,31.787695_117.193432,31.787707_117.193425,31.787721_117.193378,31.78777_117.192348,31.788621_117.192323,31.788631_117.192295,31.788637_117.190374,31.788675",瑞泽源·一里洋房,117.190519,31.786177
"117.192733,31.78717_117.191983,31.787643_117.190617,31.787679_117.190135,31.787917_117.190549,31.788573_117.192298,31.788521_117.193332,31.787684_117.192733,31.78717",一里洋房3期,117.191736,31.787994
"117.23215,31.828031_117.232181,31.827209_117.232953,31.827033_117.233921,31.826849_117.234685,31.826728_117.234783,31.826773_117.234927,31.82767_117.232233,31.82811_117.23215,31.828031",丁怡花园,117.233524,31.827422
"117.24001,31.827177_117.240013,31.827167_117.240017,31.827157_117.24003,31.827147_117.240044,31.827141_117.243579,31.826753_117.243595,31.826753_117.243612,31.826756_117.243626,31.826761_117.243641,31.82677_117.243646,31.826776_117.243657,31.826789_117.243718,31.827244_117.243717,31.827252_117.243712,31.827259_117.243701,31.827263_117.243685,31.827266_117.243489,31.827285_117.243473,31.827283_117.243451,31.827277_117.243437,31.827269_117.243423,31.827257_117.243415,31.827243_117.2434,31.827212_117.243391,31.827205_117.243378,31.827201_117.243352,31.827197_117.243331,31.827198_117.243315,31.827202_117.243303,31.82721_117.243297,31.827221_117.243295,31.827238_117.243316,31.827349_117.243316,31.827357_117.243315,31.827365_117.243307,31.827374_117.2433,31.82738_117.243287,31.827384_117.243265,31.827386_117.242588,31.827412_117.242576,31.827407_117.242564,31.827401_117.242554,31.827394_117.242548,31.827382_117.242542,31.827369_117.242523,31.827322_117.242514,31.827311_117.242503,31.827304_117.242485,31.827301_117.242471,31.827301_117.242434,31.827301_117.240103,31.827566_117.240089,31.827563_117.24008,31.827559_117.240071,31.827552_117.240065,31.827537_117.24001,31.827177",丁香家园1期,117.241956,31.827168
"117.242575,31.827398_117.243266,31.827381_117.243279,31.827377_117.243295,31.827368_117.243298,31.827352_117.243274,31.827143_117.242551,31.827211_117.242575,31.827398",丁香家园幼儿园,117.242939,31.827282
"117.2438,31.826476_117.243805,31.8265_117.243809,31.826516_117.243817,31.82653_117.243829,31.826542_117.24385,31.826557_117.243878,31.826567_117.243907,31.826572_117.243954,31.826568_117.247284,31.826201_117.2473,31.826199_117.247314,31.826195_117.24733,31.826187_117.247346,31.826168_117.247344,31.826116_117.247328,31.825922_117.247263,31.82549_117.247261,31.825477_117.247253,31.825461_117.247233,31.825449_117.247063,31.825379_117.247052,31.825372_117.247043,31.825363_117.247037,31.825343_117.247037,31.825011_117.247033,31.824964_117.247023,31.824926_117.247011,31.824902_117.246988,31.824878_117.246962,31.824861_117.246934,31.824854_117.246909,31.824853_117.246492,31.824921_117.245798,31.825048_117.245774,31.825054_117.245758,31.825062_117.245747,31.825071_117.245742,31.825084_117.24574,31.825104_117.245876,31.825554_117.245875,31.825566_117.245872,31.825576_117.245865,31.82558_117.245848,31.825587_117.245582,31.825653_117.245567,31.825656_117.245554,31.825656_117.245543,31.825656_117.245534,31.825652_117.245525,31.825643_117.245348,31.825093_117.245341,31.825068_117.245334,31.825053_117.245322,31.825045_117.245301,31.82504_117.245271,31.825038_117.244826,31.825143_117.243992,31.82527_117.243626,31.825331_117.243608,31.825334_117.2436,31.82534_117.243591,31.825348_117.243587,31.825363_117.243585,31.825387_117.2438,31.826476",丁香家园3期,117.245459,31.825759
"117.237946,31.827205_117.237973,31.826216_117.241655,31.825629_117.241836,31.826675_117.241807,31.82674_117.241761,31.826776_117.238053,31.827271_117.237946,31.827205",丁香家园2期,117.239885,31.826474
"117.24357,31.826602_117.242087,31.826741_117.242004,31.826716_117.241979,31.826686_117.241794,31.82564_117.243514,31.825358_117.243693,31.826531_117.24357,31.826602",丁香家园4期,117.242763,31.826079
"117.306577,31.886446_117.306067,31.887144_117.305495,31.887909_117.306346,31.888355_117.307437,31.886882_117.306577,31.886446",七里香榭,117.306465,31.887399
"117.311654,31.879612_117.311667,31.879499_117.311524,31.879282_117.311422,31.879214_117.311256,31.879284_117.311088,31.879071_117.310473,31.879426_117.311087,31.880188_117.311814,31.879806_117.311654,31.879612",万事达小区,117.311155,31.879615
"117.442833,31.87745_117.442729,31.879071_117.4427,31.879933_117.443547,31.879974_117.443564,31.879552_117.443884,31.879555_117.444153,31.879636_117.444155,31.879995_117.444764,31.880015_117.444944,31.877532_117.444495,31.877502_117.443901,31.877386_117.442833,31.87745",万凯·碧桂园,117.443804,31.878655
"117.319597,31.857881_117.320066,31.857725_117.320158,31.857908_117.320535,31.8578_117.319639,31.85581_117.319518,31.855699_117.319242,31.855707_117.318735,31.855804_117.318669,31.85589_117.319597,31.857881",万和·新城广场小区,117.319587,31.856782
"117.254265,31.874126_117.254708,31.874053_117.254716,31.874994_117.254198,31.874982_117.254236,31.874322_117.254265,31.874126",万家华庭,117.254472,31.87455
"117.277524,31.884229_117.277536,31.8837_117.277233,31.883604_117.277185,31.883493_117.277191,31.88334_117.276596,31.88314_117.276214,31.883616_117.276135,31.883603_117.276062,31.883799_117.277524,31.884229",万小店小区,117.276866,31.883695
"117.375237,31.881964_117.375537,31.880778_117.37587,31.879641_117.377329,31.879673_117.377293,31.880872_117.377257,31.882113_117.375235,31.882044_117.375237,31.881964",万成华府,117.376404,31.880934
"117.304078,31.822257_117.303142,31.821231_117.302415,31.821206_117.302388,31.82135_117.302385,31.821511_117.302354,31.82234_117.304067,31.822416_117.304078,31.822257",万振·城市广场,117.30306,31.821879
"117.877612,31.597894_117.877789,31.597478_117.878001,31.597216_117.87824,31.597035_117.878524,31.596919_117.878891,31.596791_117.87872,31.598134_117.878686,31.598206_117.878618,31.598251_117.878469,31.598263_117.877652,31.597958_117.877612,31.597894",万振城市广场,117.878210,31.597611
